"Hide","Vendor","Application","Description","License Type","Unclass","Secret","CWAN","Unit Cost","Initial Maintenance Cost","Subtotal","Discount","Total Cost","Comments"
"","SBE Vision","DNG Adapter","","Floating","","",""," $200.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","Teamcenter Adapter","","Floating","","",""," $200.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","Cameo Adapter","","Floating","","",""," $200.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","Rhapsody Adapter","","Floating","","",""," $200.00 ",""," $-   "," $-   "," $-   ",""
"","Siemens","TeamCenter","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","Siemens","Teammate","","","","","","","","","","",""
"","Sparx","EA","","","","","","","","","","",""
"","Sparx","EA Ultimate","","Floating","","",""," $899.00 ",""," $-   "," $-   "," $-   ",""
"","Sparx","EA Corporate","","Floating","","",""," $399.00 ",""," $-   "," $-   "," $-   ",""
"","Sparx","CloudServer","","Floating","","",""," $7,999.00 ",""," $-   "," $-   "," $-   ",""
"","Sparx","Prolaborate","","Floating","","",""," $120.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM - Admin","","Floating","","",""," $6,750.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM - Enterprise","","Floating","","",""," $4,500.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","Risk Express","","Floating","","",""," $750.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM MS Project Integration ","","Floating","","",""," $30,000.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM DOORS Integration","","Floating","","",""," $30,000.00 ",""," $-   "," $-   "," $-   ",""
"","","Team Center","","","","","","","","","","",""
"","Tom Sawyer","Tom Sawyer","","Floating","","",""," $2,835.26 ",""," $-   "," $-   "," $-   ",""
"","Wolfram","Mathematica","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","Wolfram","System Modeler","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","","","","","","","","","","","Total"," $-   ",""
"Maintenance @ Initial Buy","","","","","","","","","","","","",""
"","","","","","Licenses Maintenance Requested","","","","","","","",""
"Hide","Vendor","Application","Description","License Type","Unclass","Secret","CWAN","Unit Cost","","Subtotal","Discount","Total Cost","Comments"
"","","AssetSmart","","","","","","","","","","",""
"","","AgilityERP","","","","","","","","","","",""
"","AGI","STK Pro","Professional Edition","Floating","0","0","0"," $1,650.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","AST6","Astrogator Module for PC","Floating","0","0","0"," $8,250.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","STKEOIR","EORI Module","Floating","0","0","0"," $6,750.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","STKINT","Intgeration Module","Floating","0","0","0"," $3,750.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","AnalysisWB","Analysis Workbench","Floating","0","0","0"," $3,900.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","SatPro","Satellite Module","Floating","0","0","0"," $3,900.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","STKAnalyzer","Analyzer Module","Floating","0","0","0"," $3,750.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","CAT6","Conjunction Analysis Tool Module","Floating","0","0","0"," $7,500.00 ",""," $-   "," $-   "," $-   ",""
"","AGI","Cov","Coverage","Floating","0","0","0"," $3,750.00 ",""," $-   "," $-   "," $-   ",""
"","Aras","Innovator","PLM","Floating","0","0","0"," $1,000.00 ",""," $-   "," $-   "," $-   ",""
"","","Autocad Eage Premium","","","","","","","","","","",""
"","","Autodesk Eagle","","","","","","","","","","",""
"","","AutodDesk Fusion","","","","","","","","","","",""
"","","Autodesk Maya","","","","","","","","","","",""
"","","Autodesk AutoCad","","","","","","","","","","",""
"","","AutoDesk Mudbox","","","","","","","","","","",""
"","","Autodesk remake","","","","","","","","","","",""
"","","Autodesk Media and Entertainment Collections","","","","","","","","","","",""
"","","AutoDesk Vault","","","","","","","","","","",""
"","Big Lever","Gears","PLE Tool","Floating","0","0","0"," $750.00 ",""," $-   "," $-   "," $-   ",""
"","Big Lever","Body Knowledge Editor","PLE Tool","Floating","0","0","0"," $750.00 ",""," $-   "," $-   "," $-   ",""
"","Big Lever","Body of Knowledge Viewer","PLE Tool","Floating","0","0","0"," $450.00 ",""," $-   "," $-   "," $-   ",""
"","Celeris","iRIS","","Floating","0","0","0"," $850.00 ",""," $-   "," $-   "," $-   ",""
"","","Domino for ILT Renewal","","","","","","","","","","",""
"","Dassault","3DS Platform","ALM Tool","Floating","0","0","0"," $50,000.00 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Premium","","Floating","0","0","0"," $1,755.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Premium with Simulation Premium","","Floating","0","0","0"," $4,109.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Premium with Simulation Professional","","Floating","0","0","0"," $2,965.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Simulation Premium","","Floating","0","0","0"," $3,234.00 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Professional","","Floating","0","0","0"," $1,315.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Standard","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Composer Professional","","Floating","0","0","0"," $1,315.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Electrical 3D","","Floating","0","0","0"," $1,491.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Electrical Schematic Professional","","Floating","0","0","0"," $1,491.60 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWorks Flow Simulation","","Floating","0","0","0"," $3,448.72 ",""," $-   "," $-   "," $-   ",""
"","Dassault","SolidWork PDM Professional CAD Editor and Web","","Floating","0","0","0"," $435.60 ",""," $-   "," $-   "," $-   ",""
"","","Eagle MMIS Maintenance ","","","","","","","","","","",""
"","","Frepple renewal","","","","","","","","","","",""
"","IBM","CLM Suite","DNG, RTC, RQM, RELM, Rhapsody, etc","Tokens","0","0","0"," $39,500.00 ",""," $-   "," $-   "," $-   ",""
"","IBM","Watson Req. Quality Plugin","AI for RM","Tokens","0","0","0"," $20,000.00 ",""," $-   "," $-   "," $-   ",""
"","IBM","Doors","","","","","","","","","","",""
"","IBM","Rational","","","","","","","","","","",""
"","IBM","RQA","","","","","","","","","","",""
"","","IMT Program","","","","","","","","","","",""
"","InterCAX","Syndeia","","Floating","0","0","0"," $1,000.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - Windchill Integration","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - Creo Integration","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - Teamcenter","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - NX","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - DNG","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - MySQL","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - JIRA","","Floating","0","0","0"," $375.00 ",""," $-   "," $-   "," $-   ",""
"","","ISS Slicwave","","","","","","","","","","",""
